"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","Negative: PUT method on createAccount should not return 201","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","295","Negative: Create account with duplicate email should return 400","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","114","Negative: Path param appended to updateAccount","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","91","Negative: PUT method on deleteAccount should not return 200","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","99","Negative: Create account without company + mobile should return 400","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","90","Negative: XSS injection in email param should not find user","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","89","Negative: GET method on verifyLogin should return 405","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","279","Negative: Swapped param values (password in email field)","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","88","Negative: Update without email param should return 400","api","Sat Jul 04 17:35:01 UTC 2026","passed","Sat Jul 04 17:35:01 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","186","Negative: SQL injection in query param","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","100","Negative: SQL injection in email field","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","228","Negative: Very long string as name","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","88","Negative: Numeric value as search_product param","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","73","Negative: Very long string as email should not return valid user","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/getUserDetailByEmail endpoint tests","api/get-user-detail.spec.ts","",""
"","202","API 11: POST Create Account with all params should return 201","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","106","API 8: POST To Verify Login without password param should return 400","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","102","Negative: Both email and password invalid should not return 200","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","88","Negative: SQL injection in email field","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","107","Negative: Path param appended to verifyLogin","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","95","Negative: GET with credentials as query params","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:04 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","346","API 13: Update with only email and password accepts partial update","api","Sat Jul 04 17:35:01 UTC 2026","passed","Sat Jul 04 17:35:01 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","95","Negative: Valid email with wrong password should not return 200","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","94","Negative: Numeric path param on verifyLogin","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","192","API 11: Create account without birth fields should return 201","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","675","Negative: SQL injection in name field","api","Sat Jul 04 17:35:01 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","95","Negative: Create account with email + password (no name) should return 400","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","89","Negative: SQL injection in form param name","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","80","Negative: PUT method on searchProduct should return 405","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","87","Negative: Path traversal on deleteAccount","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","111","Negative: Numeric path param appended","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:34:59 UTC 2026","/productsList endpoint tests","api/products-list.spec.ts","",""
"","101","Negative: POST with unexpected form data","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/brandsList endpoint tests","api/brands-list.spec.ts","",""
"","89","Negative: DELETE with non-existing email should not return 200","api","Sat Jul 04 17:34:57 UTC 2026","passed","Sat Jul 04 17:34:57 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","100","API 5: Search returns products for ""tshirt""","api","Sat Jul 04 17:34:59 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","402","API 13: Updated fields are reflected in getUserDetailByEmail","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:01 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","101","Negative: SQL injection attempt as search_product param","api","Sat Jul 04 17:35:00 UTC 2026","passed","Sat Jul 04 17:35:00 UTC 2026","/searchProduct endpoint tests","api/search-product.spec.ts","",""
"","342","Negative: Wrong param names","api","Sat Jul 04 17:35:02 UTC 2026","passed","Sat Jul 04 17:35:02 UTC 2026","/updateAccount endpoint tests","api/update-account.spec.ts","",""
"","94","Negative: Create account with only password should return 400","api","Sat Jul 04 17:34:55 UTC 2026","passed","Sat Jul 04 17:34:55 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","85","Negative: Wrong param names","api","Sat Jul 04 17:34:58 UTC 2026","passed","Sat Jul 04 17:34:58 UTC 2026","/deleteAccount endpoint tests","api/delete-account.spec.ts","",""
"","199","Negative: XSS injection in name field","api","Sat Jul 04 17:34:56 UTC 2026","passed","Sat Jul 04 17:34:56 UTC 2026","/createAccount endpoint tests","api/create-account.spec.ts","",""
"","95","Negative: Empty string as password","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
"","110","Negative: Empty string as email","api","Sat Jul 04 17:35:03 UTC 2026","passed","Sat Jul 04 17:35:03 UTC 2026","/verifyLogin endpoint tests","api/verify-login.spec.ts","",""
